Quantidade média de operações para inserção de registros aleatórios
, Arvore AVL, Arvore Rubro-negran, Arvore B
, 179514.406, 7011.600, 13517.000 
, 180272.500, 7031.900, 13542.200 
, 181016.203, 7053.100, 13594.800 
, 181775.906, 7073.300, 13619.900 
, 182545.797, 7094.600, 13674.900 
, 183308.594, 7114.600, 13699.700 
, 184067.406, 7136.200, 13754.400 
, 184843.906, 7156.500, 13778.900 
, 185619.406, 7177.900, 13827.200 
, 186397.000, 7197.600, 13851.900 
, 187173.594, 7218.900, 13900.400 
, 187961.500, 7239.300, 13925.300 
, 188757.000, 7260.700, 13975.300 
, 189553.703, 7281.100, 14000.300 
, 190350.000, 7303.000, 14050.400 
, 191172.703, 7323.900, 14075.500 
, 192007.406, 7345.300, 14124.400 
, 192835.906, 7365.700, 14149.700 
, 193627.203, 7386.700, 14198.800 
, 194442.000, 7406.600, 14224.300 
, 195273.797, 7428.300, 14277.300 
, 196083.000, 7448.400, 14302.700 
, 196877.000, 7470.000, 14355.600 
, 197695.594, 7490.000, 14380.900 
, 198504.203, 7511.700, 14431.200 
, 199315.094, 7531.900, 14456.600 
, 200122.203, 7552.700, 14507.000 
, 200941.203, 7572.800, 14532.500 
, 201769.797, 7594.500, 14584.300 
, 202598.500, 7614.900, 14609.800 
, 203426.797, 7636.500, 14661.600 
, 204273.703, 7657.300, 14687.100 
, 205127.203, 7678.200, 14737.600 
, 205981.297, 7698.500, 14763.200 
, 206820.797, 7719.500, 14813.800 
, 207676.906, 7740.100, 14839.500 
, 208542.406, 7761.000, 14892.700 
, 209401.406, 7781.200, 14918.300 
, 210256.594, 7803.000, 14971.400 
, 211127.594, 7822.800, 14996.900 
, 212000.000, 7844.300, 15046.200 
, 212874.906, 7864.500, 15071.900 
, 213746.594, 7885.700, 15121.400 
, 214629.203, 7905.600, 15147.300 
, 215521.594, 7927.100, 15198.300 
, 216413.406, 7947.400, 15224.300 
, 217306.594, 7969.900, 15275.400 
, 218241.703, 7991.300, 15301.500 
, 219197.797, 8012.600, 15351.400 
, 220135.094, 8033.100, 15377.700 
, 220990.406, 8053.900, 15427.800 
, 221885.203, 8074.000, 15454.300 
, 222806.406, 8095.600, 15509.500 
, 223676.594, 8116.000, 15535.800 
, 224509.203, 8137.600, 15590.800 
, 225382.000, 8157.600, 15616.900 
